"AGD.tail","life.repro.success","Density.DOB","Season.DOB"
-0.252851813130098,0,87,"spring"
0.49057293360549,0,87,"spring"
-0.510983769457286,3,163,"summer"
0.171195614830677,0,82,"summer"
1.43088427421811,0,65,"winter"
1.14870488993015,0,52,"spring"
0.650261592992978,0,65,"winter"
0.42932757115528,0,52,"spring"
0.52777086809245,0,65,"winter"
0.309950252380412,0,81,"spring"
-0.212540472520116,0,81,"spring"
0.701039944524393,0,65,"winter"
0.108393549317582,0,52,"spring"
1.33088427421811,7,52,"spring"
-0.239271396088173,0,81,"spring"
1.14870488993015,12,52,"spring"
0.960728603911828,6,52,"spring"
0.750261592992978,11,95,"spring"
1.11886056023643,12,82,"summer"
-0.0319177912949842,5,65,"winter"
0.178549219623865,3,100,"winter"
1.24870488993015,28,84,"summer"
0.875435813498204,1,52,"spring"
0.893686339731205,0,81,"spring"
0.962285306974658,22,81,"spring"
1.02621416502962,24,52,"spring"
0.709950252380412,24,90,"summer"
0.368082208705016,0,81,"spring"
1.14870488993015,18,90,"autumn"
0.82932757115528,20,52,"spring"
0.0591719008489972,12,90,"summer"
0.769638911767846,23,95,"spring"
1.32932757115528,3,90,"autumn"
0.169638911767846,12,93,"winter"
0.960728603911828,14,82,"summer"
0.272752317893506,22,82,"summer"
1.39212963666837,6,82,"summer"
1.74714818686732,17,65,"winter"
0.448704889930148,27,52,"spring"
0.190572933605544,14,90,"summer"
0.92932757115528,0,82,"summer"
0.793686339731205,18,82,"summer"
0.397926538398733,8,65,"winter"
0.301039944524393,13,89,"autumn"
-0.351295110069852,4,160,"summer"
0.690572933605544,2,95,"spring"
0.269638911767846,0,82,"summer"
0.0696389117678459,0,84,"summer"
0.211506955443242,6,95,"spring"
0.209950252380412,1,95,"spring"
1.30103994452439,4,147,"autumn"
0.72932757115528,11,89,"autumn"
0.992129636668375,8,82,"summer"
0.839794582074129,13,95,"spring"
0.190572933605544,17,90,"autumn"
0.557615197786167,0,95,"summer"
-0.0900497476195877,17,90,"autumn"
0.347148186867318,0,95,"summer"
0.33088427421811,6,82,"summer"
-0.497403352412777,0,95,"spring"
1.06072860391183,8,95,"spring"
0.551818296055809,8,82,"summer"
0.441351285136959,0,84,"summer"
0.471195614830676,0,82,"summer"
-0.140828099151003,6,100,"winter"
-0.590049747619588,0,160,"summer"
0.553374999118639,20,90,"summer"
0.248704889930148,0,84,"summer"
0.32932757115528,8,82,"summer"
-0.109427066394456,0,100,"winter"
0.760728603911828,0,95,"spring"
0.150261592992978,1,82,"summer"
0.390572933605544,13,90,"summer"
0.880105922686695,17,93,"winter"
0.809950252380412,21,90,"summer"
1.06228530697466,29,82,"summer"
0.190572933605544,1,95,"spring"
0.950261592992978,0,93,"winter"
0.989016230542714,8,90,"autumn"
0.709950252380412,6,82,"summer"
0.0905729336055443,2,95,"spring"
1.10839354931758,17,52,"spring"
0.411506955443242,16,89,"autumn"
0.0696389117678459,3,100,"winter"
-0.428804385169324,8,100,"winter"
0.299483241461563,6,95,"spring"
0.0890162305427142,8,100,"winter"
0.818860560236431,1,95,"spring"
0.248704889930148,0,100,"winter"
-0.0721431498033576,9,95,"spring"
1.09057293360554,3,95,"spring"
-1.12880438516932,0,160,"summer"
-0.128804385169324,12,82,"summer"
0.72932757115528,11,90,"summer"
0.139794582074129,0,89,"autumn"
-0.0989600554756067,4,163,"summer"
-0.888493044556757,0,163,"spring"
0.23088427421811,0,87,"spring"
-0.360205417925871,8,163,"summer"
0.789016230542714,8,160,"autumn"
-0.100516758538437,9,160,"autumn"
0.221973966362091,0,155,"spring"
-0.693163153745248,0,87,"spring"
0.201039944524394,8,87,"spring"
0.101039944524393,0,87,"spring"
-0.340828099151003,0,87,"spring"
0.241351285136959,0,87,"spring"
-0.66911572578189,5,155,"spring"
-0.567559022719059,33,147,"autumn"
-0.428804385169324,10,150,"autumn"
-0.079582736700739,2,155,"spring"
-0.128804385169324,6,138,"summer"
0.862285306974657,0,87,"spring"
-0.390049747619588,1,155,"spring"
-0.230361088232154,18,155,"spring"
-0.406313660268795,3,138,"summer"
0.251818296055808,0,87,"spring"
-0.282696142826399,0,87,"spring"
-0.558648714863041,17,87,"spring"
0.0696389117678459,0,163,"summer"
-0.623007483438965,0,87,"spring"
0.709950252380412,0,160,"autumn"
0.192129636668374,0,87,"spring"
-0.0780260336379085,24,87,"spring"
0.14135128513696,0,87,"spring"
0.769638911767846,0,160,"autumn"
-0.849738407007022,0,87,"spring"
0.151818296055808,2,87,"spring"
0.820417263299261,13,160,"autumn"
0.0308842742181103,0,163,"summer"
1.39212963666837,0,87,"spring"
-0.297403352412776,5,87,"spring"
-0.657349958112788,0,87,"spring"
0.489016230542714,4,178,"winter"
-0.479582736700739,9,163,"summer"
-0.200516758538437,4,206,"summer"
-0.318337374250475,5,214,"spring"
-0.26911572578189,2,147,"autumn"
-0.190049747619588,0,147,"autumn"
-0.285379638431097,10,158,"summer"
-0.300516758538437,0,158,"summer"
-0.428804385169324,0,137,"summer"
-0.791606450682418,19,147,"autumn"
-0.56911572578189,0,158,"summer"
0.308393549317582,18,100,"winter"
-0.297403352412776,20,180,"spring"
-0.410983769457286,0,160,"summer"
-0.97067242884472,0,95,"spring"
1.58901623054271,14,160,"summer"
0.771195614830676,15,95,"spring"
-0.442384802213833,14,137,"summer"
-0.381139439763569,29,137,"summer"
-1.19896005547561,0,160,"summer"
0.0816626257495257,13,147,"autumn"
-0.45864871486304,7,147,"autumn"
-0.221450780376135,0,160,"summer"
0.239794582074129,10,137,"summer"
0.0324409772809403,4,158,"summer"
0.00683684625475188,7,188,"winter"
1.52932757115528,11,137,"summer"
-0.888493044556757,4,137,"summer"
-0.109427066394456,6,137,"summer"
0.0382378790112989,0,160,"summer"
-0.509427066394456,0,147,"autumn"
-0.312540472520116,0,180,"spring"
0.950261592992978,17,160,"summer"
0.960728603911828,10,95,"summer"
0.341351285136959,27,147,"autumn"
-0.0230074834389651,12,147,"autumn"
1.27119561483068,0,160,"summer"
-0.951295110069852,25,158,"summer"
-0.079582736700739,0,137,"summer"
-0.910983769457286,11,147,"autumn"
-0.207870363331626,13,158,"summer"
0.718860560236431,9,137,"summer"
0.102596647587223,0,137,"summer"
0.789016230542714,0,137,"summer"
0.201039944524394,0,160,"summer"
-0.242384802213833,8,137,"summer"
-0.291606450682418,10,160,"summer"
0.0979265383987329,4,160,"summer"
-0.27067242884472,14,95,"spring"
-0.26755902271906,12,95,"spring"
0.269638911767846,1,158,"spring"
-0.128804385169324,0,95,"spring"
-0.298960055475606,9,158,"summer"
-0.418337374250474,0,147,"autumn"
-0.139271396088173,12,138,"summer"
-0.561762120988701,0,160,"summer"
